Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,
"C13, C14",0402,2,10uF,
"C15, C16",0402,2,33pF,
C18,0805,1,100uF,
D1,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
J1,USB_A,1,Conn_01x04_Pin,
R1,0402,1,330,
"R3, R4",0402,2,27,
"R5, R6",0402,2,1K,
R7,0402,1,10K,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
U5,SOT-23-5,1,ME6211C33M5,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
